ID,B3,B4,B5,B6,B8,Data_Hora_Imagem
1,5220,5008,5431,5142,4804,2019-1-1-12-57-26
1,5220,5008,5431,5142,4804,2019-1-1-12-57-26
1,5220,5008,5431,5142,4804,2019-1-1-12-57-26
